id,clause,new-agent,protagonist,location,temporal,goal,causal:no_cause
1,"<ANNOUNCER> Tonight, a story by Frederik Pohl: Tunnel Under the World.",0,0,0,0,0,0
2,"<NARRATOR> On the morning of June fifteenth, Guy Burckhardt woke up screaming.",1,1,1,1,0,1
3,It was more real than any dream he had ever had in his life.,0,0,0,0,0,0
4,"He could still hear and feel that sharp metal ripping explosion, that searing wave of heat.",0,0,0,0,0,0
5,He sat up.,0,0,0,0,1,0
6,"<GUY> Mary, Mary, Mary, where are you?",1,1,0,0,1,0
7,"<MARY> Guy, what's wrong?",0,0,0,0,0,0
8,You're trembling.,0,0,0,0,0,0
9,<GUY> Where were you?,0,0,0,0,0,0
10,<MARY> In the kitchen cooking breakfast.,0,0,0,0,0,0
11,What is it?,0,0,0,0,0,0
12,"<GUY> I don't know, a dream, I guess, an explosion.",0,0,0,0,0,0
13,<MARY> Did you say an explosion?,0,0,0,0,0,0
14,<GUY> Yes.,0,0,0,0,0,0
15,<MARY> But that's the dream I had.,0,0,0,0,0,0
16,<GUY> What?,0,0,0,0,0,0
17,<MARY> I dreamed there was a big explosion and then something sort of hit me on the head.,0,0,0,0,0,0
18,"<GUY> Holy smokes, maybe, maybe there really was some sort of explosion that started this dreaming.",0,0,0,0,0,0
19,"<MARY> Well, there will be an explosion down at your office if you don't hurry and get to work.",0,0,0,0,1,0
20,"<NARRATOR> Coming in on the bus, Burckhardt watched to see if there was any evidence of an explosion.",0,0,1,1,1,0
21,There wasn't.,0,0,0,0,0,1
22,"If anything, the town looked better than ever.",0,0,0,0,0,0
23,The only thing that seemed strange to him was the fact that none of the usual crowd was on the bus.,0,0,0,0,0,0
24,He was a little relieved when his old pal Henry Swanson finally got on.,1,0,0,1,0,0
25,<HENRY> Excuse me?,0,1,0,0,0,0
26,"<GUY> Ah, Henry.",0,0,0,0,1,0
27,"<HENRY> Pardon me, sir.",0,0,0,0,0,0
28,"<GUY> Henry, what's the matter with you?",0,0,0,0,0,0
29,"It's me, Guy Burckhardt.",0,0,0,0,0,0
30,"<HENRY> Burckhardt, sorry, I don't believe we've met.",0,0,0,0,0,1
31,<GUY> What?,0,0,0,0,0,0
32,"Henry, for Pete's sake, it's me.",0,0,0,0,0,0
33,"<HENRY> If you'll excuse me, this is my stop.",0,0,0,0,0,0
34,"<GUY> Well I'll be, how do you like that?",0,0,0,0,0,0
35,"<NARRATOR> Guy Burckhardt got off in front of the gigantic control chemical building, took the elevator to the ninety eighth floor where he had worked in the accounting department for twelve years.",0,0,1,1,1,0
36,It wasn't until he was almost at his floor that he realized the speaker was not playing the usual commercials.,0,0,0,0,0,1
37,"<1ST SPEAKER> Britons, are you happy with your present home freezer?",1,1,0,0,0,0
38,Of course not.,0,0,0,0,0,0
39,Well the answer to your problems is a Feckle freezer.,0,0,0,0,0,0
40,A Feckle freezer is a better freezer.,0,0,0,0,0,0
41,Most wives would do anything for a Feckle freezer.,0,0,0,0,0,0
42,"Britons, are you happy with your present home freezer?",0,0,0,0,0,0
43,"<GUY> Morning, Miss Horne.",1,1,0,0,1,0
44,"<MISS HORN> Good morning, Mr. Burckhardt.",0,0,0,0,0,0
45,"<GUY> Well, new hairdo I see?",0,0,0,0,0,0
46,"<MISS HORN> Why, yes, you like it?",0,0,0,0,0,0
47,<GUY> Makes a lot of difference in your appearance.,0,0,0,0,0,0
48,Mr. Barth in?,1,0,0,0,1,0
49,"<MISS HORN> Eh, no sir, he had an appointment with Mr. Dorchin of the human research institute.",1,0,0,0,0,0
50,<GUY> Today?,0,0,0,0,0,0
51,But today's the fifteenth of June.,0,0,0,0,0,0
52,He has to sign the quarterly statement.,0,0,0,0,0,0
53,<MISS HORN> He said he wouldn't be in.,0,0,0,0,0,0
54,"<GUY> Huh, that's mighty peculiar.",0,0,0,0,0,0
55,"<MISS HORN> Yes, sir.",0,0,0,0,0,0
56,"<GUY> Oh, by the way, Miss Horne, what the devil is a Feckle freezer?",0,0,0,0,1,0
57,<MISS HORN> A Feckle freezer?,0,0,0,0,0,0
58,<GUY> There's some new copy on the elevator commercial.,0,0,0,0,0,0
59,"Uh, Dorchin must have landed another account, Feckle freezers.",0,0,0,0,0,0
60,"<MISS HORN> I really don't know, Mr. Burckhardt.",0,0,0,0,0,0
61,"<GUY> Huh, it's a funny day, can't quite put my finger on it, but there's something strange going on.",0,0,0,0,0,0
62,<NARRATOR> He couldn't shake the thought out of his mind.,0,0,0,0,0,0
63,It persisted all through the day until dinner.,0,0,1,1,0,0
64,He was still brooding as he and Mary got ready for bed.,0,0,1,1,0,0
65,"<MARY> Guy, dear?",0,1,0,0,0,0
66,"<GUY> Hm, oh, no.",0,0,0,0,0,0
67,<MARY> Anything wrong?,0,0,0,0,0,0
68,<GUY> I don't know.,0,0,0,0,0,0
69,"<MARY> Well, I guess I'll get a good night's sleep.",0,0,0,0,0,0
70,Coming?,0,0,0,0,0,0
71,<GUY> I think I'll sit up and read for a while.,0,0,0,0,1,0
72,"<MARY> Ah, good night, darling.",0,0,0,0,0,0
73,"<GUY> Night, dear.",0,0,0,0,0,0
74,"<NARRATOR> At exactly midnight, Guy Burckhardt lapsed into a sudden deep sleep, and the following morning he woke up screaming.",0,0,0,1,0,1
75,<GUY> Ah!,0,1,0,0,0,0
76,"<MARY> Darling, what is it?",0,0,0,0,0,0
77,What's wrong?,0,0,0,0,0,0
78,"<GUY> I, oh, I think a bad dream, I guess.",0,0,0,0,0,0
79,"<MARY> Oh, you gave me such a shock.",0,0,0,0,0,0
80,<GUY> I seem to be having a lot of nightmares lately.,0,0,0,0,0,0
81,<MARY> Really?,0,0,0,0,0,0
82,"<GUY> Yes, the one I had yesterday, this was the same, a big explosion and then nothing.",0,0,0,0,0,0
83,<MARY> You had a dream yesterday?,0,0,0,0,0,0
84,"<GUY> Well, of course I did.",0,0,0,0,0,0
85,You had the same sort of dream.,0,0,0,0,0,0
86,<MARY> I?,0,0,0,0,0,0
87,"Guy, you're mistaken.",0,0,0,0,0,1
88,I dont remember dreaming.,0,0,0,0,0,0
89,"<GUY> Well now, Mary, you told me.",0,0,0,0,0,0
90,"<MARY> Guy, you're mistaken.",0,0,0,0,0,0
91,<GUY> Mary.,0,0,0,0,0,0
92,"<MARY> Maybe you dreamed I had a dream, maybe.",0,0,0,0,0,0
93,"<GUY> Well, yes, I might have done that, I suppose.",0,0,0,0,0,0
94,Everything did seem sort of strange yesterday.,0,0,0,0,0,0
95,"<MARY> Oh, that's probably it.",0,0,0,0,0,0
96,You better get dressed here.,0,0,0,0,1,0
97,"Today's the fifteenth, that's when the quarterly statement.",0,0,0,0,0,1
98,<GUY> The fifteenth?,0,0,0,0,0,0
99,Yes.,0,0,0,0,0,0
100,"<GUY> Then it must have been a dream, because yesterday was the fifteenth.",0,0,0,0,0,0
101,"<NARRATOR> Guy Burckhardt got up, dressed, ate breakfast, and took the usual bus to work.",0,0,1,1,1,0
102,"Once again, everything seemed even brighter and newer than usual.",0,0,0,0,0,0
103,"And, once again, he was puzzled when he noticed none of the old crowd on the bus.",0,0,0,0,0,0
104,"<HENRY> Pardon me, please.",0,1,0,0,0,0
105,"<GUY> Well, look, don't shove so I, oh, morning Henry.",0,0,0,1,1,0
106,<HENRY> Morning.,0,0,0,0,0,0
107,"For god's sake, don't talk to me.",0,0,0,0,0,0
108,"<GUY> Well, what is it, you being followed or something?",0,0,0,0,0,0
109,<HENRY> Don't you know?,0,0,0,0,0,0
110,I was sure you remembered.,0,0,0,0,0,0
111,<GUY> Remembered what?,0,0,0,0,0,1
112,<HENRY> I can't talk.,0,0,0,0,0,0
113,"This is my stop, will you excuse me, please?",0,0,0,0,0,0
114,"<GUY> Well, Henry, Henry, for Pete's sake.",0,0,0,0,0,0
115,<NARRATOR> As in yesterday's dream Guy Burckhardt got off at his stop and took the elevator to the ninety eighth floor.,0,0,1,1,1,0
116,The speaker in the elevator purred a new commercial this time.,0,0,0,0,0,0
117,<2ND SPEAKER> Marlins cigarettes.,1,1,0,0,0,0
118,They're sanitized.,0,0,0,0,0,0
119,Does your present cigarette make your throat feel raspy and unpleasant?,0,0,0,0,0,0
120,Marlins cigarettes contain a miraculous new drug which actually gives you the sensation of smooth creamy smoke.,0,0,0,0,0,0
121,Marlins cigarettes.,0,0,0,0,0,0
122,Marlins cigarettes.,0,0,0,0,0,0
123,<NARRATOR> He walked down the marbled corridor to his office.,0,1,1,0,0,0
124,"<MISS HORN> Good morning, Mr. Burckhardt.",0,1,0,0,0,0
125,"<GUY> Good morning, Miss Horne.",0,0,0,0,0,0
126,<MISS HORN> You like my new hairdo?,0,0,0,0,0,0
127,"<GUY> Uh, yes, is Mr. Barth in?",0,0,0,0,0,0
128,"<MISS HORN> No, sir, he had an appointment with Mr. Dorchin at the research institute.",0,0,0,0,0,0
129,<GUY> I know.,0,0,0,0,0,0
130,<MISS HORN> You know?,0,0,0,0,0,0
131,"<GUY> Well, I guessed it anyway.",0,0,0,0,0,0
132,"And today is the fifteenth of June, and he won't be here to sign the quarterly statement, and I'm going nuts.",0,0,0,0,0,0
133,"Let me have a cigarette, will you?",0,0,0,0,1,1
134,"<MISS HORN> Uh, yes, sir.",0,0,0,0,0,0
135,Try one of these.,0,0,0,0,0,0
136,They're Marlins.,0,0,0,0,0,0
137,<GUY> Never heard of Marlins before today.,0,0,0,0,0,0
138,"What are we, a bunch of guinea pigs?",0,0,0,0,0,0
139,"<MISS HORN> Something wrong, Mr. Burckhardt?",0,0,0,0,0,0
140,<GUY> Wrong?,0,0,0,0,0,0
141,"Perish the thought, Miss Horne, perish the thought.",0,0,0,0,0,0
142,<NARRATOR> He went to his desk and stared at the mail before he opened it.,0,0,1,0,1,0
143,He knew that the factory distributors envelope contained an order for twelve new electronic computers.,0,0,0,0,0,0
144,He knew that the development journal contained an article about a new method of trans printing selective brain circuits of human engineers onto the electric brain circuits of robot engineers to facilitate the operation of automatic factories.,0,0,0,0,0,0
145,He knew that there was a complaint from Finebeck and Sons about the Contro Chemicals newest household robot circuit.,0,0,0,0,0,0
146,"After a long while, he forced himself to open them.",0,0,0,1,0,0
147,They were exactly as he suspected.,0,0,0,0,0,0
148,<GUY> hello.,0,1,0,0,0,0
149,"<HENRY> This is Swanson, Henry Swanson.",0,0,0,0,0,1
150,<GUY> What is it?,0,0,0,0,1,0
151,<HENRY> Do you remember?,0,0,0,0,0,0
152,<GUY> Remember what?,0,0,0,0,0,0
153,<HENRY> Just remember.,0,0,0,0,0,0
154,"<GUY> All right now, listen, Henry.",0,0,0,0,0,0
155,Let's stop playing games.,0,0,0,0,1,0
156,"Yesterday, either I was dreaming or you snubbed me on the bus.",0,0,0,0,0,0
157,"Today, the same thing happened.",0,0,0,0,0,0
158,"<HENRY> Oh, you do remember.",0,0,0,0,0,0
159,Thank heavens.,0,0,0,0,0,0
160,"I thought so when I saw you, but I couldn't be sure.",0,0,0,0,0,0
161,<GUY> Now what is it you want?,0,0,0,0,0,0
162,"<HENRY> Listen, tomorrow morning, when I get off the bus, you get off with me.",0,0,0,0,0,0
163,"Be casual, they may be watching.",0,0,0,0,0,0
164,<GUY> Who may be watching?,0,0,0,0,0,0
165,Swanson?,0,0,0,0,0,0
166,Hello?,0,0,0,0,0,0
167,"<MISS HORN> You buzzed, Mr. Burckhardt?",0,1,0,0,0,0
168,"<GUY> Yes, I'm still out of cigarettes.",0,0,0,0,1,0
169,Would you buy me a pack of Kelvins?,0,0,0,0,1,0
170,<MISS HORN> Wouldn't you rather have Marlins?,0,0,0,0,0,0
171,<GUY> I smoke Kelvins.,0,0,0,0,0,0
172,"<MISS HORN> But Mr. Burckhardt, Marlins have that soft creamy smoke that's so soothing to your throat.",0,0,0,0,0,0
173,"<GUY> Oh, you really believe that stuff?",0,0,0,0,0,0
174,<MISS HORN> Well it's true.,0,0,0,0,0,0
175,"I wouldn't say this Mr. Burckhardt, except, well, I've gotten to know you pretty well, and I've grown to admire you so much.",0,0,0,0,0,1
176,<GUY> I see.,0,0,0,0,0,0
177,"<MISS HORN> Would you mind, Mr. Burckhardt, if I told you that for months now I wanted to, well, just comfort you?",0,0,0,0,0,0
178,I know how troubled you've been.,0,0,0,0,0,0
179,"<GUY> Well, you've, uh, never mentioned your feelings before, Miss Horne.",0,0,0,0,0,0
180,<MISS HORN> April.,0,0,0,0,0,0
181,My first name's April.,0,0,0,0,0,0
182,<GUY> Well that's a pretty name.,0,0,0,0,0,0
183,<MISS HORN> You see I do have your welfare at heart.,0,0,0,0,0,0
184,That's why when I see you smoking Kelvins and I know Marlins are so much better.,0,0,0,0,0,0
185,"Won't you let me buy some of them for you, huh?",0,0,0,0,1,0
186,<GUY> Well I suppose so.,0,0,0,0,0,0
187,Why not.,0,0,0,0,0,0
188,"Yeah, bring me a carton.",0,0,0,0,0,0
189,"<MISS HORN> Oh, thank you, Mr. Burckhardt.",0,0,0,0,0,0
190,Guy.,0,0,0,0,0,0
191,"<GUY> I, uh, I think you ought to go.",0,0,0,0,1,0
192,<MISS HORN> I'll be back.,0,0,0,0,1,0
193,"<NARRATOR> There was something wrong, something definitely peculiar about what was happening: the call from Henry Swanson, the strange behavior of his secretary, Miss Horne, these new products, the dream.",0,0,0,1,0,0
194,Guy Burckhardt went home that night feeling like a man in a nightmare.,0,0,1,0,0,0
195,"<MARY> That you, dear?",0,1,0,1,0,0
196,<GUY> It's me.,0,0,0,0,0,0
197,<MARY> You have a good day?,0,0,0,0,0,0
198,<GUY> Fair.,0,0,0,0,0,0
199,"<MARY> Oh, before you sit down, will you go down to the cellar and put in a new fuse?",0,0,0,0,1,1
200,The switch in the hall closet blew out.,0,0,0,0,0,0
201,"I, I shut it off.",0,0,0,0,0,0
202,<GUY> Okay.,0,0,0,0,0,0
203,"<MARY> Supper will be ready in a minute, so don't start fooling around with that old boat hull you've been building.",0,0,0,0,1,0
204,<GUY> I won't.,0,0,0,0,0,0
205,"Mary, Mary.",0,0,1,1,0,1
206,<MARY> What is it?,0,0,0,0,0,0
207,"<GUY> Come down here, hurry up.",0,0,0,0,1,0
208,<MARY> What is it?,0,0,0,0,0,0
209,<GUY> I don't know.,0,0,0,0,0,0
210,I'm not sure.,0,0,0,0,0,0
211,"I was looking for a fuse and I thought maybe I'd dropped one under the boathouse, so I scratched around.",0,0,0,0,0,0
212,"Look, let me put the flashlight on it.",0,0,0,0,0,0
213,<MARY> Where?,0,0,0,0,0,0
214,<GUY> Look at the floor.,0,0,0,0,0,0
215,<MARY> What about the floor?,0,0,0,0,0,0
216,<GUY> It's supposed to be cement.,0,0,0,0,0,0
217,<MARY> Well?,0,0,0,0,0,0
218,<GUY> Well it's copper.,0,0,0,0,0,0
219,"There's a thin layer of cement, but underneath, its metal.",0,0,0,0,0,0
220,Look here.,0,0,0,0,0,0
221,"Underneath the concrete, more metal.",0,0,0,0,0,0
222,"And here, on the wall.",0,0,0,0,0,0
223,You see?,0,0,0,0,0,0
224,Metal.,0,0,0,0,0,0
225,"Metal under the floor, behind the walls, every place.",0,0,0,0,0,0
226,"<MARY> Well I, I don't really understand.",0,0,0,0,0,0
227,"<GUY> Mary, I know this sounds crazy, but somebody, for reasons I can't even begin to guess, has taken this house and replaced it with a clever imitation.",0,0,0,0,0,0
228,<MARY> Guy.,0,0,0,0,0,0
229,"<GUY> Mary, I'm going to look around a little more.",0,0,0,0,1,0
230,"<MARY> Well, your dinner will be ready.",0,0,0,0,0,0
231,"<GUY> All right, save it for me.",0,0,0,0,0,0
232,There are a couple of things I've got to figure out.,0,0,0,0,1,0
233,"<NARRATOR> The following morning, Guy Burckhardt woke up screaming.",0,0,1,1,0,0
234,He dragged himself into the kitchen where his wife Mary was preparing breakfast and discovered it was still June fifteenth.,0,0,1,0,0,0
235,"<GUY> Mary, where's the morning paper, where is it?",0,1,0,0,0,0
236,"<MARY> It's outside the door, I guess.",0,0,0,0,0,0
237,"<GUY> Uh huh, June 15th.",0,0,0,0,0,0
238,"<MARY> You'd better hurry, dear.",0,0,0,0,0,0
239,Today's the day Mr. Barth fills out the quarterly tax return.,0,0,0,0,0,0
240,<GUY> Oh no it isn't.,0,0,0,0,0,0
241,<MARY> Why?,0,0,0,0,0,0
242,<GUY> He won't be there.,0,0,0,0,0,0
